[04:44:40] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04:44:44] [ServerMain/INFO]: Loaded 1290 recipes
[04:44:45] [ServerMain/INFO]: Loaded 1399 advancements
[04:44:46] [Server thread/INFO]: Starting minecraft server version 1.21.1
[04:44:46] [Server thread/INFO]: Loading properties
[04:44:46] [Server thread/INFO]: Default game type: SURVIVAL
[04:44:46] [Server thread/INFO]: Generating keypair
[04:44:46] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:44:46] [Server thread/INFO]: Using epoll channel type
[04:44:46] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04:44:46] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[04:44:46] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04:44:46] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[04:44:46] [Server thread/INFO]: Preparing level "world"
[04:44:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:44:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:56] [Server thread/INFO]: Time elapsed: 1150 ms
[04:44:56] [Server thread/INFO]: Done (10.016s)! For help, type "help"
[04:45:16] [Server thread/INFO]: juank18sv[/127.53.75.47:33091] logged in with entity id 5 at (915.5, 69.0, -231.5)
[04:45:16] [Server thread/INFO]: juank18sv joined the game
[04:45:33] [Server thread/INFO]: Whiter_YT2[/127.67.67.94:45839] logged in with entity id 366 at (919.9339794559974, 69.0, -250.42514374544345)
[04:45:33] [Server thread/INFO]: Whiter_YT2 joined the game
[04:48:58] [Server thread/INFO]: Whiter_YT2 has made the advancement [What a Deal!]
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=913, y=64, z=-287} jd{x=913, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=913, y=64, z=-287} jd{x=913, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=914, y=64, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=63, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=63, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=64, z=-287} jd{x=914, y=62, z=-287}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=916, y=64, z=-287} jd{x=917, y=62, z=-287}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=918, y=64, z=-288} jd{x=919, y=62, z=-288}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=918, y=64, z=-288} jd{x=919, y=62, z=-288}
[04:57:44] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-289} jd{x=920, y=62, z=-290}
[04:57:45] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-292} jd{x=919, y=61, z=-295}
[04:57:45] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-291} jd{x=917, y=61, z=-291}
[05:07:53] [Server thread/INFO]: Whiter_YT2 has made the advancement [Suit Up]
[05:09:27] [Server thread/INFO]: Whiter_YT2 has made the advancement [Not Today, Thank You]
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.8866544762131525,0.0,-10.334729672829326
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.9247044199853462,0.0,-10.732722041888792
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.9628586042933875,0.0,-11.130723676287289
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.0011104216409876,0.0,-11.528733276961702
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.0394501087218941,0.0,-11.926750047284713
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.077868878560821,0.0,-12.324773270290734
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.1163588228798744,0.0,-12.722802300711464
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.1549166407894518,0.0,-13.120836181551113
[05:24:08] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.1935355449286362,0.0,-13.518874427767514
[05:26:10] [Server thread/INFO]: Whiter_YT2 lost connection: Disconnected
[05:26:10] [Server thread/INFO]: Whiter_YT2 left the game
[05:32:46] [Server thread/INFO]: Whiter_YT2[/127.67.67.94:36053] logged in with entity id 18511 at (1310.5570053732324, 66.0, -2787.771583966976)
[05:32:46] [Server thread/INFO]: Whiter_YT2 joined the game
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.36405613039573836,1.2353338308912498E-4,-10.315773642716067
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.38365540626455186,1.2460217430998455E-4,-10.714565763143128
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.4014098024740633,1.2509961779016976E-4,-11.113478497212327
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.41728521505410754,1.2512773458439597E-4,-11.512499813359227
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.4312739625324866,1.248015493473531E-4,-11.911617869896872
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.4433883121002964,1.2423640150416304E-4,-12.310821282875622
[05:33:38] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.45365465126110394,1.2353840281065231E-4,-12.710099277750032
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 6.700197165777126,0.0,-7.954029500038359
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 6.955867240522366,0.0,-8.261591283007874
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.208631186703542,0.0,-8.571358740646701
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.457356394302224,0.0,-8.884045783330748
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.70113153098373,0.0,-9.200149785620852
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.9392462043254,0.0,-9.51999407539779
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 8.171159505685182,0.0,-9.84376888609495
